Dart_omp,100000000,2,1,3.141492240,0.734447
Dart_omp,100000000,2,1,3.141492240,0.734447
Dart_omp,1000000000,2,1,3.141553168,7.262411
Dart_omp,100000000,2,1,3.141492240,0.734447
Dart_omp,1000000000,2,1,3.141553168,7.262411
Dart_omp,5000000000,2,1,3.141645732,38.774094
Dart_omp,100000000,4,1,3.141417640,0.550866
Dart_omp,100000000,4,1,3.141417640,0.550866
Dart_omp,1000000000,4,1,3.141579928,5.694746
Dart_omp,100000000,4,1,3.141417640,0.550866
Dart_omp,1000000000,4,1,3.141579928,5.694746
Dart_omp,5000000000,4,1,3.141603896,28.171168
Dart_omp,100000000,8,1,3.141425640,0.302639
Dart_omp,100000000,8,1,3.141425640,0.302639
Dart_omp,1000000000,8,1,3.141530712,3.317826
Dart_omp,100000000,8,1,3.141425640,0.302639
Dart_omp,1000000000,8,1,3.141530712,3.317826
Dart_omp,5000000000,8,1,3.141641671,16.702389
Dart_omp,100000000,2,2,3.141681040,0.868479
Dart_omp,100000000,2,2,3.141681040,0.868479
Dart_omp,1000000000,2,2,3.141620916,8.590454
Dart_omp,100000000,2,2,3.141681040,0.868479
Dart_omp,1000000000,2,2,3.141620916,8.590454
Dart_omp,5000000000,2,2,3.141612898,43.037421
Dart_omp,100000000,4,2,3.141809160,0.511808
Dart_omp,100000000,4,2,3.141809160,0.511808
Dart_omp,1000000000,4,2,3.141575828,5.556632
Dart_omp,100000000,4,2,3.141809160,0.511808
Dart_omp,1000000000,4,2,3.141575828,5.556632
Dart_omp,5000000000,4,2,3.141597857,28.014396
Dart_omp,100000000,8,2,3.141544000,0.282936
Dart_omp,100000000,8,2,3.141544000,0.282936
Dart_omp,1000000000,8,2,3.141539384,3.301428
Dart_omp,100000000,8,2,3.141544000,0.282936
Dart_omp,1000000000,8,2,3.141539384,3.301428
Dart_omp,5000000000,8,2,3.141612035,16.694294
Dart_omp,100000000,2,3,3.141659200,0.841960
Dart_omp,100000000,2,3,3.141659200,0.841960
Dart_omp,1000000000,2,3,3.141616616,8.612343
Dart_omp,100000000,2,3,3.141659200,0.841960
Dart_omp,1000000000,2,3,3.141616616,8.612343
Dart_omp,5000000000,2,3,3.141566416,42.887919
Dart_omp,100000000,4,3,3.141800400,0.504705
Dart_omp,100000000,4,3,3.141800400,0.504705
Dart_omp,1000000000,4,3,3.141617592,5.583377
Dart_omp,100000000,4,3,3.141800400,0.504705
Dart_omp,1000000000,4,3,3.141617592,5.583377
Dart_omp,5000000000,4,3,3.141594230,28.706347
Dart_omp,100000000,8,3,3.141659960,0.343081
Dart_omp,100000000,8,3,3.141659960,0.343081
Dart_omp,1000000000,8,3,3.141555780,3.781424
Dart_omp,100000000,8,3,3.141659960,0.343081
Dart_omp,1000000000,8,3,3.141555780,3.781424
Dart_omp,5000000000,8,3,3.141592142,16.745850
Dart_omp,100000000,2,4,3.141727200,0.850529
Dart_omp,100000000,2,4,3.141727200,0.850529
Dart_omp,1000000000,2,4,3.141616436,8.830703
Dart_omp,100000000,2,4,3.141727200,0.850529
Dart_omp,1000000000,2,4,3.141616436,8.830703
Dart_omp,5000000000,2,4,3.141594598,43.828306
Dart_omp,100000000,4,4,3.141645120,0.512091
Dart_omp,100000000,4,4,3.141645120,0.512091
Dart_omp,1000000000,4,4,3.141690256,5.606536
Dart_omp,100000000,4,4,3.141645120,0.512091
Dart_omp,1000000000,4,4,3.141690256,5.606536
Dart_omp,5000000000,4,4,3.141589468,28.016720
Dart_omp,100000000,8,4,3.141570840,0.303862
Dart_omp,100000000,8,4,3.141570840,0.303862
Dart_omp,1000000000,8,4,3.141486732,3.343004
Dart_omp,100000000,8,4,3.141570840,0.303862
Dart_omp,1000000000,8,4,3.141486732,3.343004
Dart_omp,5000000000,8,4,3.141610503,16.546171
Dart_omp,100000000,2,5,3.141333760,0.861811
Dart_omp,100000000,2,5,3.141333760,0.861811
Dart_omp,1000000000,2,5,3.141534312,8.695329
Dart_omp,100000000,2,5,3.141333760,0.861811
Dart_omp,1000000000,2,5,3.141534312,8.695329
Dart_omp,5000000000,2,5,3.141562967,44.826610
Dart_omp,100000000,4,5,3.141434960,0.540024
Dart_omp,100000000,4,5,3.141434960,0.540024
Dart_omp,1000000000,4,5,3.141608752,5.836723
Dart_omp,100000000,4,5,3.141434960,0.540024
Dart_omp,1000000000,4,5,3.141608752,5.836723
Dart_omp,5000000000,4,5,3.141598456,28.511456
Dart_omp,100000000,8,5,3.141226520,0.278034
Dart_omp,100000000,8,5,3.141226520,0.278034
Dart_omp,1000000000,8,5,3.141634444,3.267441
Dart_omp,100000000,8,5,3.141226520,0.278034
Dart_omp,1000000000,8,5,3.141634444,3.267441
Dart_omp,5000000000,8,5,3.141573362,16.386755
Dart_omp,100000000,2,6,3.141656440,0.840713
Dart_omp,100000000,2,6,3.141656440,0.840713
Dart_omp,1000000000,2,6,3.141450164,8.335308
Dart_omp,100000000,2,6,3.141656440,0.840713
Dart_omp,1000000000,2,6,3.141450164,8.335308
Dart_omp,5000000000,2,6,3.141582277,41.788471
Dart_omp,100000000,4,6,3.141697920,0.501274
Dart_omp,100000000,4,6,3.141697920,0.501274
Dart_omp,1000000000,4,6,3.141575856,5.532189
Dart_omp,100000000,4,6,3.141697920,0.501274
Dart_omp,1000000000,4,6,3.141575856,5.532189
Dart_omp,5000000000,4,6,3.141573375,27.606790
Dart_omp,100000000,8,6,3.141943280,0.290370
Dart_omp,100000000,8,6,3.141943280,0.290370
Dart_omp,1000000000,8,6,3.141508280,3.298294
Dart_omp,100000000,8,6,3.141943280,0.290370
Dart_omp,1000000000,8,6,3.141508280,3.298294
Dart_omp,5000000000,8,6,3.141605233,16.362802
Dart_omp,100000000,2,7,3.141583080,0.843074
Dart_omp,100000000,2,7,3.141583080,0.843074
Dart_omp,1000000000,2,7,3.141526388,8.345066
Dart_omp,100000000,2,7,3.141583080,0.843074
Dart_omp,1000000000,2,7,3.141526388,8.345066
Dart_omp,5000000000,2,7,3.141578575,42.021921
Dart_omp,100000000,4,7,3.141727360,0.514514
Dart_omp,100000000,4,7,3.141727360,0.514514
Dart_omp,1000000000,4,7,3.141495976,5.576222
Dart_omp,100000000,4,7,3.141727360,0.514514
Dart_omp,1000000000,4,7,3.141495976,5.576222
Dart_omp,5000000000,4,7,3.141589794,28.014888
Dart_omp,100000000,8,7,3.141756600,0.284459
Dart_omp,100000000,8,7,3.141756600,0.284459
Dart_omp,1000000000,8,7,3.141574312,3.374650
Dart_omp,100000000,8,7,3.141756600,0.284459
Dart_omp,1000000000,8,7,3.141574312,3.374650
Dart_omp,5000000000,8,7,3.141571392,17.069570
Dart_omp,100000000,2,8,3.141597480,0.957274
Dart_omp,100000000,2,8,3.141597480,0.957274
Dart_omp,1000000000,2,8,3.141497460,9.839250
Dart_omp,100000000,2,8,3.141597480,0.957274
Dart_omp,1000000000,2,8,3.141497460,9.839250
Dart_omp,5000000000,2,8,3.141622305,50.261646
Dart_omp,100000000,4,8,3.141819280,0.553358
Dart_omp,100000000,4,8,3.141819280,0.553358
Dart_omp,1000000000,4,8,3.141622968,5.788099
Dart_omp,100000000,4,8,3.141819280,0.553358
Dart_omp,1000000000,4,8,3.141622968,5.788099
Dart_omp,5000000000,4,8,3.141574859,29.080705
Dart_omp,100000000,8,8,3.141441320,0.305809
Dart_omp,100000000,8,8,3.141441320,0.305809
Dart_omp,1000000000,8,8,3.141625452,3.417882
Dart_omp,100000000,8,8,3.141441320,0.305809
Dart_omp,1000000000,8,8,3.141625452,3.417882
Dart_omp,5000000000,8,8,3.141600507,17.098832
Dart_omp,100000000,2,9,3.141672600,0.963835
Dart_omp,100000000,2,9,3.141672600,0.963835
Dart_omp,1000000000,2,9,3.141548872,9.715259
Dart_omp,100000000,2,9,3.141672600,0.963835
Dart_omp,1000000000,2,9,3.141548872,9.715259
Dart_omp,5000000000,2,9,3.141593596,48.647964
Dart_omp,100000000,4,9,3.141643840,0.544728
Dart_omp,100000000,4,9,3.141643840,0.544728
Dart_omp,1000000000,4,9,3.141628656,5.789983
Dart_omp,100000000,4,9,3.141643840,0.544728
Dart_omp,1000000000,4,9,3.141628656,5.789983
Dart_omp,5000000000,4,9,3.141598459,29.032610
Dart_omp,100000000,8,9,3.141968400,0.303030
Dart_omp,100000000,8,9,3.141968400,0.303030
Dart_omp,1000000000,8,9,3.141607832,3.451719
Dart_omp,100000000,8,9,3.141968400,0.303030
Dart_omp,1000000000,8,9,3.141607832,3.451719
Dart_omp,5000000000,8,9,3.141610801,17.965380
Dart_omp,100000000,2,10,3.141322680,0.970686
Dart_omp,100000000,2,10,3.141322680,0.970686
Dart_omp,1000000000,2,10,3.141591992,9.734383
Dart_omp,100000000,2,10,3.141322680,0.970686
Dart_omp,1000000000,2,10,3.141591992,9.734383
Dart_omp,5000000000,2,10,3.141558795,49.056618
Dart_omp,100000000,4,10,3.141772160,0.547110
Dart_omp,100000000,4,10,3.141772160,0.547110
Dart_omp,1000000000,4,10,3.141454648,5.776286
Dart_omp,100000000,4,10,3.141772160,0.547110
Dart_omp,1000000000,4,10,3.141454648,5.776286
Dart_omp,5000000000,4,10,3.141609271,29.032283
Dart_omp,100000000,8,10,3.141551880,0.323444
Dart_omp,100000000,8,10,3.141551880,0.323444
Dart_omp,1000000000,8,10,3.141619404,3.630717
Dart_omp,100000000,8,10,3.141551880,0.323444
Dart_omp,1000000000,8,10,3.141619404,3.630717
Dart_omp,5000000000,8,10,3.141589646,17.988067
